id,name,island,city,center_type,score,verdict,reasons,phone,email,website_url,description_snippet
06a79858-8425-435d-872c-0b747348352c, HAWAIIAN HEALING AND WISDOM for MODERN LIVING,big_island,,wellness_center,-1,likely center,name contains business keyword; center_type is generic 'wellness_center' (pipeline default),(176) 764-7598,user@domain.com,https://www.jameskawainui.com/,James has developed an unparalleled fusion of Ancient Wisdom passed down to  him
92f3e858-5251-4c0d-889b-71d43d6c3eb7,"'Ōhi'a Midwifery & Wellness, LLC",big_island,Waimea,wellness_center,1,likely center,name contains business keyword; center_type is generic 'wellness_center' (pipeline default); all modalities are solo-practitioner types (midwife),8086495007,ohiamidwifery@gmail.com,https://ohiamidwifery.com/,PREGNANCY & POSTPARTUM HAVENING MENTAL HEALTH SUPPORT CHILDBIRTH EDUCATION BREAS
fd794610-0789-4689-ae0c-391d42b7d104,'Olena Counseling,big_island,Hilo,wellness_center,4,LIKELY PRACTITIONER,no description; center_type is generic 'wellness_center' (pipeline default); all modalities are solo-practitioner types (counseling),8085574546,,,
9b5592eb-4855-4a49-8e78-df5bb1c9c9e8,80/20 Physical Therapy and Wellness,big_island,Hilo,clinic,-3,likely center,name contains business keyword; center_type is specific (clinic),(164) 987-2766,company@8020ptandwellness.com,https://8020physicaltherapy.com/,"80/20 Physical Therapy and Wellness, Hilo Hawaii physical therapist office, offe"
91b55c7d-9340-47f1-8769-177dc5b219e9,808 Wellness Spa & Healing Center,maui,Kihei,spa,-2,likely center,name contains business keyword; no description; center_type is specific (spa),8088754325,,https://808wellness.com/,
c05ca6a1-8c2d-4ea1-9d35-b17dcda1eba9,A Ala Hawaii Oceanfront Massage,big_island,Kailua-Kona,wellness_center,0,likely center,name contains business keyword; no description; center_type is generic 'wellness_center' (pipeline default),8089379707,,https://oceanfrontmassage.com/,
2137d33d-3174-4aec-9d55-7f65d0334667,A Balanced Life... HCHW,big_island,Hawi,wellness_center,2,likely center,no description; center_type is generic 'wellness_center' (pipeline default),8088890144,,,
6feacc51-5c2c-481c-a821-df1501711c7a,A Dash of Nutrition,oahu,Honolulu,wellness_center,2,likely center,no description; center_type is generic 'wellness_center' (pipeline default),8084273997,,http://adashofnutrition.com/,
ca884113-03a7-422f-abc4-a9eb72b05824,"A Touch of Tranquility, LLC",big_island,Waimea,wellness_center,2,likely center,no description; center_type is generic 'wellness_center' (pipeline default),8089609294,,,
7e8332d4-1322-48d1-bf3d-f2baca5583d0,Acupuncture Arts Hawaii,oahu,Honolulu,wellness_center,0,likely center,name contains business keyword; no description; center_type is generic 'wellness_center' (pipeline default),8087814920,,http://chinesemedicinehawaii.com/,
